Ranking,Company,Market Cap (USD),Stock,Country,Sector,Industry
729,Garmin Ltd.,$23.75 B,"GRMN
                                        

wb_incandescent",Switzerland,Technology,Scientific & Technical Instruments
730,"T. Rowe Price Group, Inc.",$23.75 B,"TROW
                                        

wb_incandescent",United States,Financials,Asset Management
731,Great Wall Motor Co Ltd,$23.74 B,"601633
                                        

wb_incandescent",China,Consumer Discretionary,Auto Manufacturers
732,Panasonic Corp,$23.71 B,"6752
                                        

wb_incandescent",Japan,Technology,Consumer Electronics
733,"Grupo Carso, S.A.B. de C.V.",$23.68 B,"GCARSOA1
                                        

wb_incandescent",Mexico,Industrials,Conglomerates
734,Inner Mongolia Yili Industrial Group Co. Ltd,$23.63 B,"600887
                                        

wb_incandescent",China,Consumer Staples,Packaged Foods
735,Horizon Therapeutics Public Limited Company,"$23.58 B
                                            (July 1, 2023)","HZNP
                                        

wb_incandescent",Ireland,Healthcare,Drug Manufacturers—General
736,LONGi Green Energy Technology Co. Ltd,$23.58 B,"601012
                                        

wb_incandescent",China,Technology,Semiconductor Equipment & Materials
737,Fifth Third Bancorp,$23.44 B,"FITB
                                        

wb_incandescent",United States,Financials,Banks—Regional
738,EnBW Energie Baden-Wuerttemberg AG,$23.39 B,"EBK
                                        

wb_incandescent",Germany,Utilities,Utilities—Diversified
739,Nidec Corp,$23.38 B,"6594
                                        

wb_incandescent",Japan,Industrials,Specialty Industrial Machinery
740,"Telefónica, SA",$23.33 B,"TEF
                                        

wb_incandescent",Spain,Communication Services,Telecom Services
741,Publicis Groupe SA,$23.31 B,"PUB
                                        

wb_incandescent",France,Communication Services,Advertising Agencies
742,"Church & Dwight Co., Inc.",$23.29 B,"CHD
                                        

wb_incandescent",United States,Consumer Staples,Household & Personal Products
743,Tractor Supply Company,$23.25 B,"TSCO
                                        

wb_incandescent",United States,Consumer Discretionary,Specialty Retail
744,China Everbright Bank Company Ltd,$23.25 B,"601818
                                        

wb_incandescent",China,Financials,Banks—Regional
745,"Broadridge Financial Solutions, Inc.",$23.19 B,"BR
                                        

wb_incandescent",United States,Technology,Information Technology Services
746,CEZ AS,$23.17 B,"CEZ
                                        

wb_incandescent",Czechia,Utilities,Utilities—Renewable
747,Riyad Bank,$23.16 B,"1010
                                        

wb_incandescent",Saudi Arabia,Financials,Banks—Regional
748,Lasertec Corp,$23.10 B,"6920
                                        

wb_incandescent",Japan,Technology,Scientific & Technical Instruments
749,Equity Residential,$23.07 B,"EQR
                                        

wb_incandescent",United States,Real Estate,REIT—Residential
750,ArcelorMittal,$23.06 B,"MT
                                        

wb_incandescent",Luxembourg,Basic Materials,Steel
751,China Tourism Group Duty Free Corp Ltd,$23.03 B,"601888
                                        

wb_incandescent",China,Consumer Discretionary,Travel Services
752,"Ulta Beauty, Inc.",$23.01 B,"ULTA
                                        

wb_incandescent",United States,Consumer Discretionary,Specialty Retail
753,Swedbank AB,$22.99 B,"SWED.A
                                        

wb_incandescent",Sweden,Financials,Banks—Regional
754,"Raymond James Financial, Inc.",$22.98 B,"RJF
                                        

wb_incandescent",United States,Financials,Capital Markets
755,argenx SE,$22.96 B,"ARGX
                                        

wb_incandescent",Netherlands,Healthcare,Biotechnology
756,DTE Energy Company,$22.89 B,"DTE
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
757,"Shenzhen Inovance Technology Co.,Ltd",$22.82 B,"300124
                                        

wb_incandescent",China,Industrials,Electrical Equipment & Parts
758,Fairfax Financial Holdings Limited,$22.71 B,"FFH
                                        

wb_incandescent",Canada,Financials,Insurance—Property & Casualty
759,Associated British Foods plc,$22.70 B,"ABF
                                        

wb_incandescent",United Kingdom,Consumer Staples,Packaged Foods
760,ORIX Corporation,$22.70 B,"8591
                                        

wb_incandescent",Japan,Financials,Credit Services
761,"Astellas Pharma, Inc.",$22.67 B,"4503
                                        

wb_incandescent",Japan,Healthcare,Drug Manufacturers—General
762,"Fomento Económico Mexicano, S.A.B. de C.V.",$22.64 B,"FEMSAUBD
                                        

wb_incandescent",Mexico,Consumer Staples,Beverages—Brewers
763,M&T Bank Corporation,$22.62 B,"MTB
                                        

wb_incandescent",United States,Financials,Banks—Regional
764,Standard Chartered plc,$22.62 B,"STAN
                                        

wb_incandescent",United Kingdom,Financials,Banks—Diversified
765,eBay Inc.,$22.61 B,"EBAY
                                        

wb_incandescent",United States,Consumer Discretionary,Internet Retail
766,"Huaneng Lancang River Hydropower, Inc.",$22.51 B,"600025
                                        

wb_incandescent",China,Utilities,Utilities—Renewable
767,Veolia Environnement SA,$22.50 B,"VIE
                                        

wb_incandescent",France,Industrials,Waste Management
768,"Viela Bio, Inc.",$22.50 B,"VIE
                                        

wb_incandescent",United States,Healthcare,Biotechnology
769,Eversource Energy,$22.46 B,"ES
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
770,"Endesa, SA",$22.40 B,"ELE
                                        

wb_incandescent",Spain,Utilities,Utilities—Regulated Electric
771,MTR Corp Ltd,$22.37 B,"0066
                                        

wb_incandescent",Hong Kong,Industrials,Railroads
772,Epiroc AB,$22.35 B,"3AD2
                                        

wb_incandescent",Sweden,Industrials,Farm & Heavy Construction Machinery
773,Wabtec Corporation,$22.34 B,"WAB
                                        

wb_incandescent",United States,Industrials,Railroads
774,First Republic Bank,"$22.30 B
                                            (Jan. 1, 2023)","FRC
                                        

wb_incandescent",United States,Financials,Banks—Regional
775,SAIC Motor Corp Ltd,$22.27 B,"600104
                                        

wb_incandescent",China,Consumer Discretionary,Auto Manufacturers
776,East Japan Railway Company,$22.23 B,"9020
                                        

wb_incandescent",Japan,Industrials,Railroads
777,Hewlett Packard Enterprise Company,$22.15 B,"HPE
                                        

wb_incandescent",United States,Technology,Communication Equipment
778,ICON Public Limited Company,$22.12 B,"ICLR
                                        

wb_incandescent",Ireland,Healthcare,Diagnostics & Research
779,Nippon Steel Corp,$22.11 B,"5401
                                        

wb_incandescent",Japan,Basic Materials,Steel
780,Toyota Tsusho Corp,$22.11 B,"8015
                                        

wb_incandescent",Japan,Basic Materials,Steel
781,"NVR, Inc.",$22.09 B,"NVR
                                        

wb_incandescent",United States,Consumer Discretionary,Residential Construction
782,"Molina Healthcare, Inc.",$22.08 B,"MOH
                                        

wb_incandescent",United States,Healthcare,Healthcare Plans
783,Sea Limited,$22.07 B,"SE
                                        

wb_incandescent",Singapore,Communication Services,Electronic Gaming & Multimedia
784,"Walgreens Boots Alliance, Inc.",$22.04 B,"WBA
                                        

wb_incandescent",United States,Healthcare,Pharmaceutical Retailers
785,China Minsheng Banking Corp Ltd,$21.97 B,"600016
                                        

wb_incandescent",China,Financials,Banks—Regional
786,Grupo Bimbo SAB de CV,$21.94 B,"BIMBOA
                                        

wb_incandescent",Mexico,Consumer Staples,Packaged Foods
787,Sampo Oyj,$21.93 B,"SAMPO
                                        

wb_incandescent",Finland,Financials,Insurance—Diversified
788,Wheaton Precious Metals Corp.,$21.90 B,"WPM
                                        

wb_incandescent",Canada,Basic Materials,Gold
789,"Alexandria Real Estate Equities, Inc.",$21.84 B,"ARE
                                        

wb_incandescent",United States,Real Estate,REIT—Office
790,Entergy Corporation,$21.80 B,"ETR
                                        

wb_incandescent",United States,Utilities,Utilities—Diversified
791,Franco-Nevada Corporation,$21.76 B,"FNV
                                        

wb_incandescent",Canada,Basic Materials,Gold
792,Howmet Aerospace Inc.,$21.72 B,"HWM
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
793,FirstEnergy Corp.,$21.68 B,"FE
                                        

wb_incandescent",United States,Utilities,Utilities—Diversified
794,"Dai-ichi Life Holdings, Inc.",$21.68 B,"8750
                                        

wb_incandescent",Japan,Financials,Insurance—Life
795,FirstRand Ltd,$21.67 B,"FSR
                                        

wb_incandescent",South Africa,Financials,Banks—Diversified
796,"PulteGroup, Inc.",$21.66 B,"PHM
                                        

wb_incandescent",United States,Consumer Discretionary,Residential Construction
797,Unicharm Corp,$21.64 B,"8113
                                        

wb_incandescent",Japan,Consumer Staples,Household & Personal Products
798,Cathay Financial Holding Co. Ltd,$21.59 B,"2882
                                        

wb_incandescent",Taiwan,Financials,Insurance—Life
799,Saudi Electricity Company,$21.56 B,"5110
                                        

wb_incandescent",Saudi Arabia,Utilities,Utilities—Regulated Electric
800,Svenska Handelsbanken AB,$21.53 B,"SHB.A
                                        

wb_incandescent",Sweden,Financials,Banks—Diversified
801,Otsuka Holdings Co. Ltd,$21.48 B,"4578
                                        

wb_incandescent",Japan,Healthcare,Drug Manufacturers—General
802,"MS&AD Insurance Group Holdings, Inc.",$21.47 B,"8725
                                        

wb_incandescent",Japan,Financials,Insurance—Property & Casualty
803,Koninklijke Philips N.V.,$21.46 B,"PHIA
                                        

wb_incandescent",Netherlands,Healthcare,Diagnostics & Research
804,STERIS Corp,$21.41 B,"S1TE34
                                        

wb_incandescent",United States,Healthcare,Medical Devices
805,Hang Seng Bank Limited,$21.37 B,"0011
                                        

wb_incandescent",Hong Kong,Financials,Banks—Regional
806,Carnival Corporation & plc,$21.36 B,"CCL
                                        

wb_incandescent",United States,Consumer Discretionary,Travel Services
807,STERIS plc,$21.34 B,"STE
                                        

wb_incandescent",Ireland,Healthcare,Medical Instruments & Supplies
808,Itausa - Investimentos Itau SA,$21.33 B,"ITSA3
                                        

wb_incandescent",Brazil,Financials,Banks—Regional
809,Teck Resources Limited,$21.26 B,"TECK.B
                                        

wb_incandescent",Canada,Basic Materials,Other Industrial Metals & Mining
810,Société Générale SA,$21.24 B,"GLE
                                        

wb_incandescent",France,Financials,Banks—Regional
811,Antofagasta plc,$21.24 B,"ANTO
                                        

wb_incandescent",United Kingdom,Basic Materials,Copper
812,COSCO SHIPPING Holdings Co Ltd,$21.16 B,"601919
                                        

wb_incandescent",China,Industrials,Marine Shipping
813,China National Nuclear Power Co. Ltd,$21.14 B,"601985
                                        

wb_incandescent",China,Utilities,Utilities—Independent Power Producers
814,CGN Power Co. Ltd,$21.12 B,"003816
                                        

wb_incandescent",China,Utilities,Utilities—Independent Power Producers
815,Alinma Bank,$21.12 B,"1150
                                        

wb_incandescent",Saudi Arabia,Financials,Banks—Regional
816,Suzuki Motor Corp,$21.11 B,"7269
                                        

wb_incandescent",Japan,Consumer Discretionary,Auto Manufacturers
817,HEICO Corporation,$21.09 B,"HEI
                                        

wb_incandescent",United States,Industrials,Aerospace & Defense
818,Sartorius AG,$21.03 B,"SRT
                                        

wb_incandescent",Germany,Healthcare,Medical Instruments & Supplies
819,CSC Financial Co. Ltd,$20.96 B,"601066
                                        

wb_incandescent",China,Financials,Capital Markets
820,EDP - Energias de Portugal SA,$20.96 B,"EDP
                                        

wb_incandescent",Portugal,Utilities,Utilities—Diversified
821,"EDP Renováveis, SA",$20.95 B,"EDPR
                                        

wb_incandescent",Spain,Utilities,Utilities—Renewable
822,Genmab A/S,$20.91 B,"GMAB
                                        

wb_incandescent",Denmark,Healthcare,Biotechnology
823,Invitation Homes Inc.,$20.90 B,"INVH
                                        

wb_incandescent",United States,Real Estate,REIT—Residential
824,Telefonaktiebolaget LM Ericsson,$20.89 B,"ERIC.A
                                        

wb_incandescent",Sweden,Technology,Communication Equipment
825,Tradeweb Markets Inc.,$20.89 B,"TW
                                        

wb_incandescent",United States,Financials,Capital Markets
826,Anglo Pacific Group plc,$20.88 B,"APF
                                        

wb_incandescent",United Kingdom,Basic Materials,Coking Coal
827,"Illumina, Inc.",$20.87 B,"ILMN
                                        

wb_incandescent",United States,Healthcare,Diagnostics & Research
828,Sirius XM Holdings Inc.,$20.86 B,"SIRI
                                        

wb_incandescent",United States,Communication Services,Broadcasting
829,Imperial Brands plc,$20.82 B,"IMB
                                        

wb_incandescent",United Kingdom,Consumer Staples,Tobacco
830,Kyocera Corp,$20.75 B,"6971
                                        

wb_incandescent",Japan,Technology,Consumer Electronics
831,Dover Corporation,$20.75 B,"DOV
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
832,Daiwa House Industry Co Ltd,$20.75 B,"1925
                                        

wb_incandescent",Japan,Real Estate,Real Estate—Development
833,United Microelectronics Corporation,$20.74 B,"2303
                                        

wb_incandescent",Taiwan,Technology,Semiconductors
834,The Saudi British Bank,$20.74 B,"1060
                                        

wb_incandescent",Saudi Arabia,Financials,Banks—Regional
835,Teledyne Technologies Incorporated,$20.73 B,"TDY
                                        

wb_incandescent",United States,Technology,Scientific & Technical Instruments
836,"Rollins, Inc.",$20.71 B,"ROL
                                        

wb_incandescent",United States,Consumer Discretionary,Personal Services
837,CLP Holdings Ltd,$20.66 B,"0002
                                        

wb_incandescent",Hong Kong,Utilities,Utilities—Regulated Electric
838,Mitsubishi Heavy Industries Ltd,$20.61 B,"7011
                                        

wb_incandescent",Japan,Industrials,Specialty Industrial Machinery
839,UWM Holdings Corporation Class,$20.60 B,"UWMC
                                        

wb_incandescent",United States,Financials,Mortgage Finance
840,"Live Nation Entertainment, Inc.",$20.58 B,"LYV
                                        

wb_incandescent",United States,Communication Services,Entertainment
841,"VeriSign, Inc.",$20.54 B,"VRSN
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
842,Geberit AG,$20.53 B,"GEBN
                                        

wb_incandescent",Switzerland,Industrials,Building Products & Equipment
843,"Ajinomoto Co., Inc.",$20.46 B,"2802
                                        

wb_incandescent",Japan,Consumer Staples,Packaged Foods
844,"Zoom Video Communications, Inc.",$20.45 B,"ZM
                                        

wb_incandescent",United States,Communication Services,Telecom Services
845,International Flavors & Fragrances Inc.,$20.42 B,"IFF
                                        

wb_incandescent",United States,Basic Materials,Specialty Chemicals
846,Techtronic Industries Company Ltd,$20.39 B,"0669
                                        

wb_incandescent",Hong Kong,Industrials,Tools & Accessories
847,Fortis Inc.,$20.39 B,"FTS
                                        

wb_incandescent",Canada,Utilities,Utilities—Regulated Electric
848,PPL Corporation,$20.39 B,"PPL
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
849,"FLEETCOR Technologies, Inc.",$20.28 B,"FLT
                                        

wb_incandescent",United States,Technology,Information Technology Services
850,UPM-Kymmene Oyj,$20.26 B,"UPM
                                        

wb_incandescent",Finland,Basic Materials,Paper & Paper Products
851,"First Citizens BancShares, Inc.",$20.22 B,"FCNCA
                                        

wb_incandescent",United States,Financials,Banks—Regional
852,Tenaris SA,$20.14 B,"TEN
                                        

wb_incandescent",Luxembourg,Energy,Oil & Gas Equipment & Services
853,"Expedia Group, Inc.",$20.13 B,"EXPE
                                        

wb_incandescent",United States,Consumer Discretionary,Travel Services
854,Dollarama Inc.,$20.13 B,"DOL
                                        

wb_incandescent",Canada,Consumer Staples,Discount Stores
855,Zhangzhou Pientzehuang Pharmaceutical. Ltd,$20.07 B,"600436
                                        

wb_incandescent",China,Healthcare,Drug Manufacturers—General
856,"Brown & Brown, Inc.",$20.06 B,"BRO
                                        

wb_incandescent",United States,Financials,Insurance Brokers
857,CK Hutchison Holdings Ltd,$20.01 B,"0001
                                        

wb_incandescent",Hong Kong,Industrials,Conglomerates
858,PTC Inc.,$20.00 B,"PTC
                                        

wb_incandescent",United States,Technology,Software—Application
859,CRRC Corp Ltd,$19.98 B,"601766
                                        

wb_incandescent",China,Industrials,Railroads
860,"Ventas, Inc.",$19.98 B,"VTR
                                        

wb_incandescent",United States,Real Estate,REIT—Healthcare Facilities
861,NTT Data Corp,$19.89 B,"9613
                                        

wb_incandescent",Japan,Technology,Information Technology Services
862,Aeon Co. Ltd,$19.85 B,"8267
                                        

wb_incandescent",Japan,Consumer Discretionary,Department Stores
863,Atlantia SpA,"$19.83 B
                                            (Dec. 1, 2022)","ATL
                                        

wb_incandescent",Italy,Industrials,Infrastructure Operations
864,"J.B. Hunt Transport Services, Inc.",$19.80 B,"JBHT
                                        

wb_incandescent",United States,Industrials,Integrated Freight & Logistics
865,Kellogg Company,$19.69 B,"K
                                        

wb_incandescent",United States,Consumer Staples,Packaged Foods
866,"Builders FirstSource, Inc.",$19.65 B,"BLDR
                                        

wb_incandescent",United States,Industrials,Building Products & Equipment
867,"Align Technology, Inc.",$19.62 B,"ALGN
                                        

wb_incandescent",United States,Healthcare,Medical Devices
868,Centrais Elétricas Brasileiras S.A. - Eletrobrás,$19.61 B,"EBR
                                        

wb_incandescent",Brazil,Utilities,Utilities—Regulated Electric
869,Baxter International Inc.,$19.60 B,"BAX
                                        

wb_incandescent",United States,Healthcare,Medical Instruments & Supplies
870,Targa Resources Corp.,$19.57 B,"TRGP
                                        

wb_incandescent",United States,Energy,Oil & Gas Midstream
871,Aier Eye Hospital Group Co. Ltd,$19.49 B,"300015
                                        

wb_incandescent",China,Healthcare,Medical Care Facilities
872,Yanzhou Coal Mining Company Ltd,$19.49 B,"600188
                                        

wb_incandescent",China,Energy,Thermal Coal
873,"Contura Energy, Inc.",$19.47 B,"CTRA
                                        

wb_incandescent",United States,Energy,Thermal Coal
874,Chongqing Zhifei Biological Products Co. Ltd,$19.46 B,"300122
                                        

wb_incandescent",China,Healthcare,Biotechnology
875,"Rivian Automotive, Inc.",$19.46 B,"RIVN
                                        

wb_incandescent",United States,Consumer Discretionary,Auto Manufacturers
876,Duke Realty Corporation,"$19.44 B
                                            (Sept. 1, 2022)","DRE
                                        

wb_incandescent",United States,Real Estate,REIT—Industrial
877,Iron Mountain Incorporated,$19.43 B,"IRM
                                        

wb_incandescent",United States,Real Estate,REIT—Specialty
878,Ameren Corporation,$19.43 B,"AEE
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
879,Nokia Corporation,$19.42 B,"NOKIA.SEK
                                        

wb_incandescent",Finland,Technology,Communication Equipment
880,"Tyson Foods, Inc.",$19.40 B,"TSN
                                        

wb_incandescent",United States,Consumer Staples,Farm Products
881,Kao Corp,$19.39 B,"4452
                                        

wb_incandescent",Japan,Consumer Staples,Household & Personal Products
882,Baoshan Iron & Steel Co. Ltd,$19.39 B,"600019
                                        

wb_incandescent",China,Basic Materials,Steel
883,KE Holdings Inc.,$19.38 B,"BEKE
                                        

wb_incandescent",China,Real Estate,Real Estate Services
884,"Hertz Global Holdings, Inc.","$19.38 B
                                            (Oct. 31, 2021)","HTZZ
                                        

wb_incandescent",United States,Industrials,Rental & Leasing Services
885,"Darden Restaurants, Inc.",$19.37 B,"DRI
                                        

wb_incandescent",United States,Consumer Discretionary,Restaurants
886,Swiss Life Holding AG,$19.31 B,"SLHN
                                        

wb_incandescent",Switzerland,Financials,Insurance—Diversified
887,China United Network Communications Ltd,$19.28 B,"600050
                                        

wb_incandescent",China,Communication Services,Telecom Services
888,"Steel Dynamics, Inc.",$19.27 B,"STLD
                                        

wb_incandescent",United States,Basic Materials,Steel
889,Laboratory Corporation of America Holdings,$19.25 B,"LH
                                        

wb_incandescent",United States,Healthcare,Diagnostics & Research
890,Coterra Energy Inc.,"$19.24 B
                                            (July 1, 2023)","XCQ
                                        

wb_incandescent",United States,Energy,Oil & Gas E&P
891,Asahi Group Holdings Ltd,$19.21 B,"2502
                                        

wb_incandescent",Japan,Consumer Staples,Beverages—Brewers
892,Genuine Parts Company,$19.09 B,"GPC
                                        

wb_incandescent",United States,Consumer Discretionary,Specialty Retail
893,Pembina Pipeline Corporation,$19.08 B,"PPL
                                        

wb_incandescent",Canada,Energy,Oil & Gas Midstream
894,Nippon Paint Holdings Co. Ltd,$19.01 B,"4612
                                        

wb_incandescent",Japan,Basic Materials,Specialty Chemicals
895,Sonova Holding AG,$19.01 B,"SOON
                                        

wb_incandescent",Switzerland,Healthcare,Medical Instruments & Supplies
896,Markel Corporation,$18.97 B,"MKL
                                        

wb_incandescent",United States,Financials,Insurance—Property & Casualty
897,China Unicom Hong Kong Ltd,$18.97 B,"0762
                                        

wb_incandescent",Hong Kong,Communication Services,Telecom Services
898,Aker BP ASA,$18.94 B,"AKRBP
                                        

wb_incandescent",Norway,Energy,Oil & Gas E&P
899,"Principal Financial Group, Inc.",$18.93 B,"PFG
                                        

wb_incandescent",United States,Financials,Insurance—Diversified
900,China CSSC Holdings Ltd,$18.92 B,"600150
                                        

wb_incandescent",China,Industrials,Aerospace & Defense
901,W. R. Berkley Corporation,$18.87 B,"WRB
                                        

wb_incandescent",United States,Financials,Insurance—Property & Casualty
902,Polski Koncern Naftowy ORLEN Spólka Akcyjna,$18.82 B,"PKY1
                                        

wb_incandescent",Poland,Energy,Oil & Gas Refining & Marketing
903,Advanced Info Service PCL,$18.77 B,"ADVANC
                                        

wb_incandescent",Thailand,Communication Services,Telecom Services
904,Power Corporation of Canada,$18.74 B,"POW
                                        

wb_incandescent",Canada,Financials,Insurance—Life
905,Cameco Corporation,$18.65 B,"CCO
                                        

wb_incandescent",Canada,Energy,Uranium
906,Kaspi Bank Joint Stock Company,$18.64 B,"KSPI
                                        

wb_incandescent",Kazakhstan,Technology,Software—Infrastructure
907,Wens Foodstuff Group Co. Ltd,$18.64 B,"300498
                                        

wb_incandescent",China,Consumer Staples,Farm Products
908,Legal & General Group plc,$18.56 B,"LGEN
                                        

wb_incandescent",United Kingdom,Financials,Insurance—Life
909,"Axon Enterprise, Inc.",$18.55 B,"AXON
                                        

wb_incandescent",United States,Industrials,Aerospace & Defense
910,EMS-CHEMIE HOLDING AG,$18.55 B,"EMSN
                                        

wb_incandescent",Switzerland,Basic Materials,Specialty Chemicals
911,Repsol SA,$18.54 B,"REP
                                        

wb_incandescent",Spain,Energy,Oil & Gas Integrated
912,"McCormick & Company, Incorporated",$18.51 B,"MKC
                                        

wb_incandescent",United States,Consumer Staples,Packaged Foods
913,Standard Bank Group Ltd,$18.51 B,"SBK
                                        

wb_incandescent",South Africa,Financials,Banks—Regional
914,"Expeditors International of Washington, Inc.",$18.51 B,"EXPD
                                        

wb_incandescent",United States,Industrials,Integrated Freight & Logistics
915,China Railway Group Ltd,$18.49 B,"0390
                                        

wb_incandescent",Hong Kong,Industrials,Engineering & Construction
916,"Cboe Global Markets, Inc.",$18.46 B,"CBOE
                                        

wb_incandescent",United States,Financials,Financial Data & Stock Exchanges
917,Huntington Bancshares Incorporated,$18.43 B,"HBAN
                                        

wb_incandescent",United States,Financials,Banks—Regional
918,China Overseas Land & Investment Ltd,$18.42 B,"0688
                                        

wb_incandescent",Hong Kong,Real Estate,Real Estate—Development
919,Talanx AG,$18.41 B,"TLX
                                        

wb_incandescent",Germany,Financials,Insurance—Diversified
920,BioMarin Pharmaceutical Inc.,$18.41 B,"BMRN
                                        

wb_incandescent",United States,Healthcare,Biotechnology
921,"CenterPoint Energy, Inc.",$18.39 B,"CNP
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Gas
922,Carlsberg A-S,$18.38 B,"CARL.A
                                        

wb_incandescent",Denmark,Consumer Staples,Beverages—Brewers
923,"Arca Continental, S.A.B. de C.V.",$18.37 B,"AC
                                        

wb_incandescent",Mexico,Consumer Staples,Beverages—Non-Alcoholic
924,Ryanair Holdings plc,"$18.18 B
                                            (Dec. 1, 2021)","RY4C
                                        

wb_incandescent",Ireland,Industrials,Airlines
925,Waters Corporation,$18.17 B,"WAT
                                        

wb_incandescent",United States,Healthcare,Diagnostics & Research
926,"American Campus Communities, Inc.","$18.13 B
                                            (Aug. 1, 2022)","ACC
                                        

wb_incandescent",United States,Real Estate,REIT—Residential
927,"The Cooper Companies, Inc.",$18.13 B,"COO
                                        

wb_incandescent",United States,Healthcare,Medical Instruments & Supplies
928,Kubota Corp,$18.11 B,"6326
                                        

wb_incandescent",Japan,Industrials,Farm & Heavy Construction Machinery
929,Fresenius SE & Co KGaA,$18.07 B,"FRE
                                        

wb_incandescent",Germany,Healthcare,Medical Care Facilities
930,TDK Corp,$18.05 B,"6762
                                        

wb_incandescent",Japan,Technology,Electronic Components
931,Mitsubishi Estate Co. Ltd,$18.03 B,"8802
                                        

wb_incandescent",Japan,Real Estate,Real Estate—Diversified
932,China Tower Corp Ltd,$18.03 B,"0788
                                        

wb_incandescent",China,Communication Services,Telecom Services
933,China International Capital Corp Ltd,$18.01 B,"601995
                                        

wb_incandescent",China,Financials,Capital Markets
934,CTBC Financial Holding Co. Ltd,$17.93 B,"2891
                                        

wb_incandescent",Taiwan,Financials,Insurance—Life
935,Mega Financial Holding Co. Ltd,$17.92 B,"2886
                                        

wb_incandescent",Taiwan,Financials,Banks—Regional
936,Telefônica Brasil SA,$17.91 B,"VIV
                                        

wb_incandescent",Brazil,Communication Services,Telecom Services
937,Bolloré SE,$17.89 B,"BOL
                                        

wb_incandescent",France,Communication Services,Entertainment
938,"First Solar, Inc.",$17.88 B,"FSLR
                                        

wb_incandescent",United States,Technology,Solar
939,Hydro One Limited,$17.88 B,"H
                                        

wb_incandescent",Canada,Utilities,Utilities—Regulated Electric
940,Check Point Software Technologies Ltd.,$17.88 B,"CHKP
                                        

wb_incandescent",Israel,Technology,Software—Infrastructure
941,Ball Corporation,$17.86 B,"BALL
                                        

wb_incandescent",United States,Consumer Discretionary,Packaging & Containers
942,Hormel Foods Corporation,$17.83 B,"HRL
                                        

wb_incandescent",United States,Consumer Staples,Packaged Foods
943,Atmos Energy Corporation,$17.80 B,"ATO
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Gas
944,"NetApp, Inc.",$17.78 B,"NTAP
                                        

wb_incandescent",United States,Technology,Computer Hardware
945,"ASE Technology Holding Co., Ltd.",$17.76 B,"3711
                                        

wb_incandescent",Taiwan,Technology,Semiconductors
946,Westlake Chemical Corporation,$17.71 B,"WLK
                                        

wb_incandescent",United States,Basic Materials,Specialty Chemicals
947,Inpex Corp,$17.70 B,"1605
                                        

wb_incandescent",Japan,Energy,Oil & Gas E&P
948,The Clorox Company,$17.67 B,"CLX
                                        

wb_incandescent",United States,Consumer Staples,Household & Personal Products
949,Regions Financial Corporation,$17.64 B,"RF
                                        

wb_incandescent",United States,Financials,Banks—Regional
950,Brookfield Property Partners L.P.,"$17.64 B
                                            (July 1, 2021)","BPY.UN
                                        

wb_incandescent",Bermuda,Real Estate,Real Estate Services
951,Bank of Jiangsu Co. Ltd,$17.63 B,"600919
                                        

wb_incandescent",China,Financials,Banks—Regional
952,Warner Music Group Corp.,$17.63 B,"WMG
                                        

wb_incandescent",United States,Communication Services,Entertainment
953,Tata Motors Limited,"$17.61 B
                                            (Jan. 1, 2023)","TTM
                                        

wb_incandescent",India,Consumer Discretionary,Auto Manufacturers
954,LPL Financial Holdings Inc.,$17.60 B,"LPLA
                                        

wb_incandescent",United States,Financials,Capital Markets
955,"Akamai Technologies, Inc.",$17.54 B,"AKAM
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
956,Sungrow Power Supply Co. Ltd,$17.53 B,"300274
                                        

wb_incandescent",China,Industrials,Electrical Equipment & Parts
957,NIO Limited,$17.51 B,"NIO
                                        

wb_incandescent",China,Consumer Discretionary,Auto Manufacturers
958,Aristocrat Leisure Limited,$17.50 B,"ALL
                                        

wb_incandescent",Australia,Communication Services,Electronic Gaming & Multimedia
959,CK Asset Holdings Limited,$17.50 B,"1113
                                        

wb_incandescent",Hong Kong,Real Estate,Real Estate—Development
960,SABIC Agri-Nutrients Company,$17.49 B,"2020
                                        

wb_incandescent",Saudi Arabia,Basic Materials,Agricultural Inputs
961,"Hologic, Inc.",$17.49 B,"HOLX
                                        

wb_incandescent",United States,Healthcare,Medical Instruments & Supplies
962,"Yum China Holdings, Inc.",$17.49 B,"YUMC
                                        

wb_incandescent",China,Consumer Discretionary,Restaurants
963,Snam S.p.A.,$17.47 B,"SRG
                                        

wb_incandescent",Italy,Utilities,Utilities—Regulated Gas
964,"Beijing Kingsoft Office Software, Inc.",$17.47 B,"688111
                                        

wb_incandescent",China,Technology,Software—Application
965,Vertiv Holdings Co.,$17.47 B,"VRT
                                        

wb_incandescent",United States,Industrials,Electrical Equipment & Parts
